ANO 2011;1458140;27.12
Česká str.sociálně demokrat.;250397;4.65
Komunistická str.Čech a Moravy;193817;3.60
PIRÁTI a STAROSTOVÉ;839776;15.62
Svoboda a př. demokracie (SPD);513910;9.56
SPOLU – ODS, KDU-ČSL, TOP 09;1493905;27.79
PŘÍSAHA Roberta Šlachty;251562;4.68
Trikolora Svobodní Soukromníci;148463;2.76
Strana zelených;53343;0.99
ALIANCE NÁRODNÍCH SIL;5167;0.09
Aliance pro budoucnost;11531;0.21
Koruna Česká (monarch.strana);8635;0.16
Levice;639;0.01
Moravané;14285;0.26
Moravské zemské hnutí;1648;0.03
Urza.cz: Nechceme vaše hlasy;6775;0.12
Otevřeme ČR normálnímu životu;21804;0.40
Volte Pr.Blok www.cibulka.net;586;0.01
Hnutí Prameny;8599;0.15
SENIOŘI 21;3698;0.06
Švýcarská demokracie;16823;0.31
VOLNÝ blok;71587;1.33
